,BEGIN_TIME,EVENT_ID,END_TIME,EVENT_TYPE,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,BEGIN_DATE,END_DATE,AFFECTED,DAMAGE,LABEL
3538,1400.0,184754.0,1830.0,Flash Flood,45.24,-98.33,45.18,-98.33,06/2009/16,06/2009/16,0,0.0,1
3539,1528.0,184758.0,1830.0,Flash Flood,45.21,-97.92,45.1967,-97.9203,06/2009/16,06/2009/16,0,0.0,1
3540,1655.0,183775.0,1930.0,Flash Flood,37.571,-82.4284,37.5576,-82.4407,06/2009/17,06/2009/17,0,0.0,1
3541,1240.0,186567.0,1540.0,Flash Flood,41.07,-75.33,41.0631,-75.3238,07/2009/29,07/2009/29,0,0.0,1
3542,1100.0,185504.0,1230.0,Flood,41.9958,-88.2094,41.994,-88.2094,06/2009/19,06/2009/19,0,0.0,1
3543,520.0,185505.0,730.0,Flash Flood,42.1415,-87.9422,42.0987,-87.9421,06/2009/19,06/2009/19,0,0.0,1
3544,1730.0,177247.0,1930.0,Flash Flood,35.9414,-90.791,35.9013,-90.7838,06/2009/3,06/2009/3,0,0.0,1
3545,930.0,185180.0,1430.0,Flash Flood,42.0855,-79.9983,42.0952,-79.9695,06/2009/30,06/2009/30,0,1000000.0,1
3546,930.0,185211.0,1430.0,Flash Flood,42.031000000000006,-80.126,42.0619,-80.1299,06/2009/30,06/2009/30,0,1500000.0,1
3547,2000.0,173564.0,2300.0,Flash Flood,46.78,-100.75,46.8668,-100.7247,06/2009/26,06/2009/26,0,25000.0,1
3548,2040.0,176065.0,600.0,Flash Flood,37.5046,-82.8416,37.4909,-82.8393,05/2009/8,05/2009/9,0,0.0,1
3549,30.0,185353.0,430.0,Flash Flood,39.03,-88.3592,38.9698,-88.3592,06/2009/20,06/2009/20,0,0.0,1
3550,45.0,185354.0,430.0,Flash Flood,38.9532,-87.9537,38.8936,-87.9357,06/2009/20,06/2009/20,0,0.0,1
3551,1700.0,183782.0,2000.0,Flash Flood,36.8169,-84.1531,36.8165,-84.1355,06/2009/17,06/2009/17,0,0.0,1
3552,1700.0,183783.0,2000.0,Flash Flood,36.7817,-84.1434,36.7716,-84.1508,06/2009/17,06/2009/17,0,0.0,1
3553,1700.0,183784.0,2000.0,Flash Flood,36.8131,-84.1296,36.8208,-84.0722,06/2009/17,06/2009/17,0,0.0,1
